id,category_no,emoji
1.386002968592339e+18,1,🙏
1.3859185739655004e+18,0,😂
1.3885740476386714e+18,0,😜
1.3888545270092472e+18,0,😄
1.3884484166199214e+18,1,🙏
1.3885057759877816e+18,0,😑
1.388517248491344e+18,0,🤗
1.386007774333522e+18,1,🙏
1.388399689641255e+18,7,❤
1.3888009200419103e+18,1,🙏
1.38846898789845e+18,0,😠
1.3860369134007337e+18,1,🙏
1.3884960447915336e+18,0,😢
1.3887892059967693e+18,0,🤣
1.386361857447891e+18,1,🙏
1.3884509956430766e+18,1,🙏
1.3870266831741665e+18,0,😂
1.385924843019719e+18,1,🙏
1.3858777750058066e+18,9,🔥
1.388435501024039e+18,0,😣
1.386639342504874e+18,0,😀
1.3888000498999665e+18,1,🙏
1.3888050182166487e+18,0,💖
1.3870226298280591e+18,0,😘
1.389224470154412e+18,2,🌿
1.3863427137090642e+18,0,😍
1.3884179785347525e+18,1,🙏
1.385908222087762e+18,0,😌
1.3870220113905172e+18,1,🙏
1.3863339499960607e+18,0,💕
1.3870967029228913e+18,1,🙏
1.3863701848022303e+18,1,🙏
1.3863160725806162e+18,0,🙄
1.3867949023657697e+18,1,🙏
1.3885495224108032e+18,0,😒
1.385915249820242e+18,7,✍
1.3888366193108828e+18,1,🙏
1.3871077807214838e+18,0,😐
1.3867562222090732e+18,1,🙏
1.38638305369865e+18,1,🙏
1.389237018475975e+18,1,🙏
1.3867540666389504e+18,0,😂
1.3888230378610606e+18,0,😑
1.3870875239821107e+18,0,😁
1.3885499356881633e+18,1,👍
1.3888786013621658e+18,1,🙏
1.3888600382996685e+18,0,😂
1.388874628374827e+18,1,🙏
1.3859409228026634e+18,1,👍
1.3885424543919718e+18,3,❓
1.3859413201123e+18,0,🙈
1.3860459329956332e+18,1,🙏
1.38708264642184e+18,0,😢
1.3863439737243443e+18,0,😃
1.3885378502666732e+18,0,😂
1.386063547675779e+18,7,❣
1.38591369293235e+18,0,😂
1.3870625890335662e+18,0,😂
1.3888602525362708e+18,0,💖
1.3871253592507924e+18,0,🙄
1.3863699895826145e+18,0,😀
1.3892518915366666e+18,0,😊
1.388415674662355e+18,7,☺
1.3887885144776458e+18,0,😡
1.389237437340164e+18,0,😕
1.388847159081005e+18,1,🙌
1.386327579238359e+18,3,🔙
1.387081538425086e+18,0,💔
1.3863588717619855e+18,0,💖
1.3888676592199311e+18,1,🙏
1.3884568710994616e+18,1,🙏
1.3884292507687365e+18,1,🙏
1.3863179867771003e+18,0,😂
1.3884046037340324e+18,0,😭
1.3870819333734113e+18,0,😜
1.38600665942041e+18,0,😭
1.3840860448452977e+18,0,🤣
1.386749261983801e+18,6,🚩
1.3858781833465324e+18,1,🤘
1.3885673698538004e+18,0,😐
1.3860502614250824e+18,0,😂
1.388418486209106e+18,1,💪
1.3883945179176264e+18,1,👦
1.3885646963080602e+18,0,😂
1.3884055675473183e+18,1,🙏
1.388781149837693e+18,0,🙈
1.3885124370668175e+18,1,🙏
1.3870530275975127e+18,0,😡
1.385948500131672e+18,0,😊
1.3870111105371013e+18,1,👍
1.3859216940202437e+18,0,😢
1.3883934688719094e+18,0,😢
1.3884890339663053e+18,7,❤
1.3871161341895188e+18,7,🕉
1.3859931463376773e+18,3,♏
1.3888450682078904e+18,0,💔
1.3863556977349796e+18,3,❓
1.3883746372480164e+18,5,✨
1.386961631540777e+18,0,💞
1.3863082102361498e+18,1,🙏
1.3863942832556278e+18,0,😏
1.3885577227071283e+18,0,😂
1.3870291790157292e+18,0,😜
1.3887890714392986e+18,1,🙏
1.3867437650548818e+18,0,😊
1.3841988771846226e+18,1,🙏
1.3859575458277253e+18,1,🙏
1.3884969990920806e+18,3,🆔
1.3867271983089787e+18,1,👍
1.3842228234434396e+18,1,🙏
1.388447867547779e+18,1,🙏
1.388841002274726e+18,0,😁
1.3892496016186e+18,7,✍
1.3862865664489185e+18,1,🙏
1.3892455596265513e+18,0,😒
1.3888648891212513e+18,0,😂
